------------------------------------------------
[2026-04-06 19:15:01] PROGRAM STARTED
------------------------------------------------
[2026-04-06 19:15:01] INITIALIZED WORLD MAP

[2026-04-06 19:15:01] INITIALIZED WINDOW
------------------------------------------------
[2026-04-06 19:15:01] STARTED APP
------------------------------------------------
[2026-04-06 19:15:02] Current FPS: 60
[2026-04-06 19:15:03] Current FPS: 60
[2026-04-06 19:15:04] Current FPS: 60
[2026-04-06 19:15:05] Current FPS: 60
[2026-04-06 19:15:06] Current FPS: 60
[2026-04-06 19:15:07] Current FPS: 60
[2026-04-06 19:15:08] Current FPS: 60
[2026-04-06 19:15:09] Current FPS: 60
[2026-04-06 19:15:10] Current FPS: 60
[2026-04-06 19:15:11] Current FPS: 59
[2026-04-06 19:15:12] Current FPS: 60
[2026-04-06 19:15:13] Current FPS: 60
[2026-04-06 19:15:14] Current FPS: 60
[2026-04-06 19:15:15] Current FPS: 60
[2026-04-06 19:15:16] Current FPS: 60
[2026-04-06 19:15:17] Current FPS: 60
[2026-04-06 19:15:18] Current FPS: 60
[2026-04-06 19:15:19] Current FPS: 60
[2026-04-06 19:15:20] Current FPS: 60
[2026-04-06 19:15:21] Current FPS: 60
[2026-04-06 19:15:22] Current FPS: 60
[2026-04-06 19:15:23] Current FPS: 60
[2026-04-06 19:15:24] Current FPS: 60
[2026-04-06 19:15:25] Current FPS: 60
[2026-04-06 19:15:26] Current FPS: 60
[2026-04-06 19:15:27] Current FPS: 60
[2026-04-06 19:15:28] Current FPS: 60
[2026-04-06 19:15:29] Current FPS: 60
[2026-04-06 19:15:30] Current FPS: 60
[2026-04-06 19:15:31] Current FPS: 60
[2026-04-06 19:15:32] Current FPS: 60
[2026-04-06 19:15:33] Current FPS: 60
[2026-04-06 19:15:34] Current FPS: 60
[2026-04-06 19:15:35] Current FPS: 60
[2026-04-06 19:15:36] Current FPS: 60
[2026-04-06 19:15:37] Current FPS: 60
[2026-04-06 19:15:38] Current FPS: 60
[2026-04-06 19:15:39] Current FPS: 60
[2026-04-06 19:15:40] Current FPS: 60
[2026-04-06 19:15:41] Current FPS: 60
[2026-04-06 19:15:42] Current FPS: 60
[2026-04-06 19:15:43] Current FPS: 60
[2026-04-06 19:15:44] Current FPS: 60
[2026-04-06 19:15:45] Current FPS: 60
[2026-04-06 19:15:46] Current FPS: 60
[2026-04-06 19:15:47] Current FPS: 60
[2026-04-06 19:15:48] Current FPS: 60
[2026-04-06 19:15:49] Current FPS: 60
[2026-04-06 19:15:50] Current FPS: 60
[2026-04-06 19:15:51] Current FPS: 60
[2026-04-06 19:15:52] Current FPS: 60
[2026-04-06 19:15:53] Current FPS: 60
[2026-04-06 19:15:54] Current FPS: 60
[2026-04-06 19:15:55] Current FPS: 60
[2026-04-06 19:15:56] Current FPS: 60
[2026-04-06 19:15:57] Current FPS: 60
[2026-04-06 19:15:58] Current FPS: 60
[2026-04-06 19:15:59] Current FPS: 60
[2026-04-06 19:16:00] Current FPS: 60
[2026-04-06 19:16:01] Current FPS: 60
[2026-04-06 19:16:02] Current FPS: 60
------------------------------------------------
[2026-04-06 19:16:02] APP CORRECTLY CLOSED
------------------------------------------------
